   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 298,         22281,           21988,           4690,      3306,         812,        628,      2070,           0,        729,         44551,             294,           3875,      44253,        21988,        6429
 299,         22519,           22225,           4726,      3564,         779,        623,      2082,           0,        614,         44850,             291,           3968,      44551,        22225,        6506
 300,         22660,           22365,           4776,      3575,         797,        631,      2096,           0,        617,         45150,             299,           3975,      44850,        22365,        6537
 301,         22837,           22541,           4818,      3763,         802,        653,      2099,           0,        619,         45451,             297,           4023,      45150,        22541,        6577
 302,         23000,           22703,           4882,      3330,         820,        610,      2105,           0,        618,         45753,             297,           4050,      45451,        22703,        6615
 303,         23234,           22936,           5024,      3790,         796,        665,      2111,           0,        728,         46056,             298,           3999,      45753,        22936,        6695
 304,         23500,           23201,           4953,      3705,         800,        646,      2118,           0,        644,         46360,             295,           4068,      46056,        23201,        6759
 305,         23716,           23416,           5028,      3684,         810,        726,      2124,           0,        630,         46665,             300,           4050,      46360,        23416,        6810
 306,         23835,           23534,           5086,      3839,         790,        724,      2146,           0,        632,         46971,             302,           4090,      46665,        23534,        6856
 307,         23868,           23566,           5062,      3591,         834,        642,      2147,           0,        646,         47278,             304,           4158,      46971,        23566,        6869
 308,         23956,           23653,           5064,      3625,         818,        637,      2166,           0,        635,         47586,             299,           4133,      47278,        23653,        6918
 309,         24159,           23855,           5111,      3753,         816,        658,      2171,           0,        636,         47895,             303,           4161,      47586,        23855,        7003
 310,         24283,           23978,           5088,      3521,         844,        639,      2167,           0,        638,         48205,             308,           4210,      47895,        23978,        6989
 311,         24463,           24157,           5129,      4047,         825,        688,      2182,           0,        643,         48516,             305,           4222,      48205,        24157,        7050
 312,         24640,           24333,           5194,      3772,         814,        655,      2195,           0,        645,         48828,             307,           4241,      48516,        24333,        7101
 313,         24713,           24405,           5199,      3719,         825,        666,      2207,           0,        648,         49141,             311,           4273,      48828,        24405,        7173
 314,         24913,           24604,           5243,      3700,         869,        663,      2211,           0,        650,         49455,             310,           4335,      49141,        24604,        7362
